Topic,Question,Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Azure,How does Azure manage compliance?,"Azure provides compliance offerings, tools, and certifications to help customers meet regulatory requirements.",Compliance in Azure is only for Microsoft's internal use.,Azure does not assist with compliance; it's all on the user.,Compliance tools in Azure are limited to GDPR only.
Azure,What is Azure Synapse Analytics?,An analytics service that combines big data and data warehousing into one platform for enterprise analytics.,Synapse Analytics is for managing physical synapse connections in Azure.,It's a tool for real-time application performance monitoring.,"Azure Synapse is only for small datasets, not big data."
Azure,What is Azure Event Grid?,"A fully managed event routing service that enables event-driven, serverless applications to react to events.",Event Grid is for creating visual grids of Azure events.,It's a service for managing physical event spaces in Azure.,Azure Event Grid does not support external events; only internal Azure events.
Azure,What is Azure Cognitive Services?,"APIs, SDKs, and services that help developers build intelligent applications with AI capabilities.",Cognitive Services are for managing cognitive health in Azure AD.,It's a service for improving the cognitive performance of Azure VMs.,Azure Cognitive Services are only for Microsoft's internal AI research.
Azure,What is Azure Databricks?,"An Apache Spark-based analytics platform optimized for Azure, offering a collaborative environment for big data analytics.",Databricks in Azure is for managing physical bricks in data centers.,"It's a service for creating databases, not for analytics.",Azure Databricks does not support real-time data processing.
Azure,What is Azure Storage Explorer?,"A free, standalone app from Microsoft that allows you to easily create, manage, and interact with Azure storage services.",Storage Explorer is for exploring physical storage options in Azure.,It's a tool for managing Azure AD user storage.,"Azure Storage Explorer only works with Blob Storage, not other storage types."
Azure,What is Azure Automation?,"A service for automating the creation, deployment, and management of Azure and non-Azure environments.",Automation in Azure is limited to manual processes.,It's a tool for automating physical tasks in Azure data centers.,"Azure Automation only works for Azure resources, not external systems."
Azure,What is Azure Policy?,"A service in Azure that you use to create, assign, and manage policies which enforce different rules and effects over your resources.","Azure Policy manages user policies in Azure AD, not resource policies.",It's for enforcing physical security policies in data centers.,"Azure Policy is only for setting up network policies, not resource management."
Azure,What is Azure Sentinel?,"A scalable, cloud-native SIEM (Security Information and Event Management) solution for intelligent security analytics.",Sentinel is for monitoring physical security in Azure data centers.,"It's a service for managing Azure AD user access, not security analytics.","Azure Sentinel only handles network security, not application security."
Azure,How does Azure handle disaster recovery?,"Through services like Azure Site Recovery, offering replication and failover for applications and data.",Azure does not handle disaster recovery; it's user-managed.,Disaster recovery in Azure is only for physical servers.,"Azure's disaster recovery services are limited to data, not applications."
Azure,What is Azure Front Door?,A scalable and secure entry point for fast delivery of your global web applications.,Front Door is for managing physical entry points to Azure data centers.,It's a service for managing user interfaces in Azure AD.,"Azure Front Door only works for internal Azure services, not public-facing apps."
Azure,What is Azure ExpressRoute?,A service that lets you create private connections between Azure datacenters and infrastructure on your premises or in a colocation environment.,ExpressRoute is for expedited delivery of physical hardware.,It's a service for managing express updates in Azure AD.,Azure ExpressRoute does not support private connections; it's public only.
Azure,What is Azure DDoS Protection?,A service that provides enhanced DDoS mitigation features to protect your Azure resources from DDoS attacks.,DDoS Protection is for protecting physical Azure infrastructure.,"It's a tool for protecting against data loss, not DDoS attacks.",Azure DDoS Protection only works for on-premises resources.
Azure,What is Azure Cost Management?,"A service for monitoring, allocating, and optimizing cloud costs to understand and control your Azure spending.",Cost Management only deals with physical Azure infrastructure costs.,It's for managing the costs of Azure AD user licenses.,Azure Cost Management does not include tools for optimization.
Azure,What is Azure Bastion?,A fully managed PaaS service that provides secure and seamless RDP/SSH connectivity to your virtual machines directly from the Azure portal.,Bastion is for managing physical fortifications in Azure data centers.,It's a service for securing Azure AD user accounts.,"Azure Bastion is only for VPN connections, not RDP/SSH."
Azure,What is Azure Service Bus?,A fully managed enterprise message broker with message queues and publish-subscribe topics for hybrid cloud solutions.,Service Bus is for managing physical bus networks in Azure.,It's a tool for scheduling Azure AD user activities.,Azure Service Bus only supports synchronous communication.
Azure,How does Azure manage network security?,"Through Network Security Groups (NSGs), Azure Firewall, and other services like DDoS Protection.",Network security in Azure is not managed; it's up to the user.,"Azure only secures internal networks, not customer networks.",Azure manages network security through physical firewalls only.
Azure,What is Azure Key Vault?,"A tool for securely storing and accessing secrets like API keys, passwords, and certificates.",Key Vault is for locking physical keys in Azure data centers.,It's a service for managing Azure AD user keys.,Azure Key Vault does not support certificate management.
Azure,What is Azure Stream Analytics?,A real-time analytics and complex event-processing engine designed to analyze and process high volumes of fast-moving streaming data.,Stream Analytics is for managing physical streams in Azure.,"It's a tool for static data analysis, not streaming data.",Azure Stream Analytics only processes data in batch mode.
Azure,What is Azure Data Lake Storage?,"A scalable and secure data lake for high-performance analytics workloads, supporting massive amounts of data.",Data Lake Storage is for managing physical lakes in Azure regions.,"It's a service for managing small, structured datasets.",Azure Data Lake Storage does not support high-performance analytics.
Azure,What is Azure Container Instances (ACI)?,A service that enables running containers on Azure without managing servers or clusters.,ACI is for managing physical container ships in Azure ports.,It's a tool for managing Azure AD user containers.,Azure Container Instances require server management.
Azure,How does Azure support multi-factor authentication (MFA)?,"Through Azure AD, offering MFA options like text message, phone call, or mobile app notifications.",Azure does not support MFA; it's only for single-factor authentication.,MFA in Azure is limited to physical security tokens.,Azure only supports MFA for internal Microsoft services.
Azure,What is Azure Machine Learning?,"A cloud-based environment for training, deploying, and managing machine learning models at scale.",Machine Learning in Azure is for teaching physical machines in data centers.,It's a service for managing Azure AD user learning activities.,Azure Machine Learning only supports pre-trained models.
Azure,What is Azure IoT Hub?,A managed service that enables bi-directional communication between IoT devices and Azure services.,IoT Hub is for managing physical hubs in Azure data centers.,It's a tool for managing Azure AD user devices.,Azure IoT Hub only supports one-way communication to devices.
Azure,What is Azure API Management?,"A service for creating, publishing, securing, and analyzing APIs in a secure and scalable environment.",API Management in Azure deals with physical API hardware.,It's for managing Azure AD user APIs.,Azure API Management does not support API analytics.
Azure,What is Azure Virtual Network (VNet)?,A service that enables you to create isolated and secure network environments in Azure.,VNet is for managing physical network cables in Azure.,It's a tool for managing Azure AD user networks.,Azure Virtual Network cannot connect to on-premises networks.
Azure,What is Azure Private Link?,A service that allows you to access Azure PaaS Services over a private endpoint in your virtual network.,Private Link deals with physical private connections in Azure.,It's for linking Azure AD users privately.,Azure Private Link only works for Azure IaaS services.
Azure,How does Azure manage data encryption?,Through services like Azure Disk Encryption and Azure Storage Service Encryption for data at rest.,Azure does not manage encryption; it's the user's responsibility.,"Encryption in Azure is only for data in transit, not at rest.",Azure only encrypts data on physical servers.
Azure,What is Azure Batch?,A service for running large-scale parallel and high-performance computing (HPC) batch jobs in Azure.,Batch in Azure is for managing physical batch processes in data centers.,It's a tool for batch processing Azure AD user data.,Azure Batch does not support parallel computing.
Azure,What is Azure Data Explorer?,A fast and highly scalable data exploration service for log and telemetry data.,Data Explorer is for exploring physical Azure data centers.,It's a tool for managing Azure AD user exploration data.,Azure Data Explorer is only for small datasets.
Azure,What is Azure Blueprints?,"A service that lets you define a repeatable set of Azure resources that adheres to an organization's standards, patterns, and requirements.",Blueprints are for creating physical blueprints of Azure facilities.,It's a tool for managing Azure AD user blueprints.,Azure Blueprints only apply to network configurations.
Azure,What is Azure Advisor?,"An automated, personalized cloud consultant that provides recommendations to help optimize your Azure deployments.",Advisor in Azure gives advice on physical Azure infrastructure.,It's a service for advising Azure AD users.,Azure Advisor only deals with security recommendations.
Azure,What is Azure Maps?,"A suite of geospatial services that include mapping, spatial analytics, and mobility services.",Maps in Azure are for physical mapping of Azure data centers.,It's a tool for managing Azure AD user locations.,Azure Maps only provides static map images.
Azure,What is Azure Arc?,"A set of technologies that extends Azure management and services to any infrastructure, including on-premises and multi-cloud.",Azure Arc manages physical arcs in Azure data centers.,It's for managing Azure AD user arcs.,"Azure Arc only extends to other cloud providers, not on-premises."
Azure,What is Azure Stack?,"A hybrid cloud platform that lets you run Azure services in your own datacenter, extending Azure to on-premises environments.",Stack in Azure is for managing physical stacks in data centers.,It's a tool for managing Azure AD user stacks.,Azure Stack does not support running Azure services on-premises.
Azure,What is Azure Service Health?,"Provides personalized information about the health of Azure services, including active issues and planned maintenance.",Service Health is for monitoring physical health in Azure data centers.,It's a service for checking Azure AD user health.,"Azure Service Health only reports on past issues, not current ones."
Azure,What is Azure Resource Manager (ARM)?,"A management layer that provides a way to create, update, and delete resources in your Azure subscription.",ARM in Azure manages physical resources in data centers.,It's for managing Azure AD user resources.,Azure Resource Manager does not support resource deletion.
Azure,What is Azure Time Series Insights?,"A fully managed analytics, storage, and visualization service for managing IoT-scale time-series data.",Time Series Insights deals with physical time management in Azure.,It's a tool for managing Azure AD user time series.,"Azure Time Series Insights only handles batch data, not real-time."
Azure,What is Azure SignalR Service?,A fully managed service that simplifies adding real-time web functionalities using HTTP and WebSockets.,SignalR in Azure is for managing physical signals in data centers.,It's for signaling Azure AD user activities.,Azure SignalR Service does not support WebSocket protocols.
Azure,What is Azure Notification Hubs?,A scalable push notification engine for sending mobile push notifications from any backend to any mobile device.,Notification Hubs manage physical notifications in Azure.,It's a tool for notifying Azure AD user activities.,Azure Notification Hubs only support Android devices.
Azure,What is Azure Data Share?,A service for sharing data in a secure and compliant manner with organizations you trust.,Data Share in Azure is for sharing physical data storage.,It's for sharing Azure AD user data.,Azure Data Share does not support compliance features.
Azure,What is Azure Digital Twins?,A platform for creating digital representations of physical environments and assets for real-time insights.,Digital Twins in Azure are for creating physical replicas.,It's for managing Azure AD user twins.,Azure Digital Twins only works with virtual environments.
Azure,What is Azure Lab Services?,A service for setting up and managing classroom labs in the cloud for educational purposes.,Lab Services manage physical labs in Azure data centers.,It's for conducting lab experiments in Azure AD.,"Azure Lab Services are only for research, not education."
Azure,What is Azure Sphere?,"A solution for creating highly-secured, connected MCU (Microcontroller Unit) devices for IoT.",Sphere in Azure deals with physical spherical data centers.,It's for securing Azure AD user spheres.,Azure Sphere does not support MCU devices; it's for larger systems.
Azure,What is Azure HPC Cache?,A file caching service that speeds up access to files for high-performance computing applications.,HPC Cache is for caching physical hardware in Azure.,It's a tool for caching Azure AD user data.,Azure HPC Cache only works with on-premises storage
Azure,What is Azure Cache for Redis?,"An in-memory data store that's used as a cache, session store, or message broker in Azure applications.",Cache for Redis is for storing physical Redis servers.,It's for caching Azure AD user sessions.,Azure Cache for Redis does not support session management.
Azure,What is Azure Event Hubs?,A big data streaming platform and event ingestion service capable of receiving and processing millions of events per second.,Event Hubs are for managing physical event locations in Azure.,It's for handling Azure AD user events.,Azure Event Hubs only process events in batch mode.
Azure,What is Azure Media Services?,"A cloud-based platform for encoding, streaming, and analyzing video and audio content.",Media Services in Azure manage physical media hardware.,It's a service for managing Azure AD user media.,"Azure Media Services only supports live streaming, not VOD."
Azure,What is Azure Search?,A search-as-a-service solution for building rich search experiences into applications.,Azure Search is for searching physical Azure infrastructure.,It's for searching Azure AD user profiles.,Azure Search does not support full-text search capabilities.
Azure,What is Azure Data Catalog?,A fully managed cloud service that serves as a system of registration and discovery for enterprise data assets.,Data Catalog in Azure is for cataloging physical data storage.,It's for cataloging Azure AD user data.,Azure Data Catalog only supports metadata from Azure services.
Azure,What is Azure Analysis Services?,A fully managed platform as a service (PaaS) that provides enterprise-grade data models in the cloud.,Analysis Services are for analyzing physical Azure infrastructure.,It's a service for analyzing Azure AD user behavior.,Azure Analysis Services only support on-premises data models.
Azure,What is Azure DevTest Labs?,A service that makes it easy to set up development and test environments with pre-configured VMs or custom configurations.,DevTest Labs manage physical labs in Azure data centers.,It's for testing Azure AD user applications.,"Azure DevTest Labs only support pre-configured environments, not custom ones."
Azure,What is Azure Batch AI?,"A managed service for training deep learning and AI models on Azure, leveraging GPU-enabled VMs.",Batch AI in Azure is for managing physical AI hardware.,It's for processing Azure AD user AI data.,Azure Batch AI does not support GPU acceleration.
Azure,What is Azure Content Moderator?,"An AI service that checks text, images, and videos for potentially offensive content.",Content Moderator is for moderating physical content in Azure.,It's for moderating Azure AD user content.,"Azure Content Moderator only works with text, not multimedia."
Azure,What is Azure Bot Service?,"A platform for building, connecting, testing, and deploying intelligent bots.",Bot Service in Azure manages physical bots in data centers.,It's for managing Azure AD user bots.,Azure Bot Service does not support integration with other services.
Azure,What is Azure Data Box?,A physical device used for transferring large amounts of data into Azure when network connectivity isn't feasible.,Data Box is for storing physical data in Azure data centers.,It's a service for managing Azure AD user data boxes.,"Azure Data Box only supports data transfer out of Azure, not into it."
Azure,What is Azure Firewall?,"A managed, cloud-based network security service that protects your Azure Virtual Network resources.",Azure Firewall is for physical firewalls in Azure data centers.,It's for managing Azure AD user firewall settings.,"Azure Firewall only protects on-premises networks, not Azure VNets."
Azure,What is Azure Migrate?,"A service that helps you to migrate on-premises infrastructure, applications, and data to Azure.",Migrate in Azure deals with moving physical servers to Azure.,It's for migrating Azure AD users to different regions.,"Azure Migrate only supports data migration, not application migration."
Azure,What is Azure Peering Service?,A networking service that enhances connectivity to Microsoft cloud services for enterprise and SaaS customers.,Peering Service is for physical peering in Azure data centers.,It's for managing Azure AD user peer connections.,Azure Peering Service only works for Azure to Azure connectivity.
Azure,What is Azure Web PubSub?,A fully managed service that makes it easy to build real-time web applications using WebSockets.,Web PubSub in Azure manages physical pub/sub hardware.,It's for publishing Azure AD user sessions.,Azure Web PubSub does not support real-time applications.
Azure,What is Azure Confidential Computing?,Provides hardware-based security through Trusted Execution Environments for protecting data in use.,Confidential Computing is for confidential data storage only.,It's for securing Azure AD user computing sessions.,Azure Confidential Computing does not involve hardware security.
Azure,What is Azure Hybrid Benefit?,"Allows you to use your on-premises software licenses in Azure at a reduced cost, applicable to Windows Server and SQL Server.",Hybrid Benefit in Azure is for hybrid physical server setups.,It's for combining Azure AD user licenses.,"Azure Hybrid Benefit only applies to Azure's own software, not third-party."
Azure,What is Azure Update Management?,A service that helps manage operating system updates for your Azure and on-premises machines.,Update Management is for updating physical Azure infrastructure.,It's for managing updates in Azure AD user profiles.,"Azure Update Management only works for Azure VMs, not on-premises."
Azure,What is Azure Virtual WAN?,A networking service that provides optimized and automated branch-to-branch connectivity through Azure.,Virtual WAN in Azure deals with physical WAN infrastructures.,It's for managing Azure AD user network connections.,Azure Virtual WAN is only for on-premises to Azure connectivity.
Azure,What is Azure Database Migration Service?,"A tool to streamline, guide, and automate database migration to Azure.",Database Migration Service is for migrating physical databases.,It's for migrating Azure AD user databases.,Azure Database Migration Service only supports SQL Server migrations.
Azure,What is Azure PlayFab?,"A complete backend platform for live games, offering services like multiplayer, player data management, and analytics.",PlayFab in Azure is for managing physical game consoles.,It's for playing games within Azure AD.,Azure PlayFab only supports single-player games.
Azure,What is Azure NetApp Files?,"An enterprise-grade, high-performance file storage service for running your most demanding file workloads in Azure.",NetApp Files in Azure manage physical NetApp storage.,It's for managing Azure AD user file shares.,Azure NetApp Files does not support enterprise workloads.
Azure,What is Azure Remote Rendering?,"A service for rendering high-quality, interactive 3D content in the cloud and streaming it to devices.",Remote Rendering deals with rendering physical Azure data centers.,It's for rendering Azure AD user interfaces.,Azure Remote Rendering only supports static 3D models.
Azure,What is Azure Quantum?,"Provides access to quantum computing resources, software, and applications through Azure.",Quantum in Azure is for managing physical quantum hardware.,It's for quantum user management in Azure AD.,Azure Quantum does not offer access to quantum computers.
Azure,What is Azure Orbital?,A ground station as a service that provides communication and control of satellites from Azure.,Orbital in Azure deals with managing physical orbits.,It's for managing Azure AD user satellite data.,"Azure Orbital only supports satellite imagery, not communication."
Azure,What is Azure VMware Solution?,A fully managed service that lets you run VMware environments in Azure with native integration.,VMware Solution in Azure is for physical VMware hardware.,It's for integrating Azure AD with VMware.,Azure VMware Solution does not support native VMware environments.
Azure,What is Azure Fluid Framework?,A platform for building real-time collaborative experiences in web applications.,Fluid Framework in Azure manages physical fluid dynamics.,It's for managing Azure AD user collaborations.,Azure Fluid Framework only supports offline collaboration.
Azure,What is Azure Communication Services?,"A set of cloud-based services for embedding communication capabilities like chat, voice, and video into applications.",Communication Services deal with physical communication devices.,It's for communicating between Azure AD users.,Azure Communication Services only support email communication.
Azure,What is Azure Chaos Studio?,A service for performing chaos engineering experiments to test system resilience in Azure environments.,Chaos Studio in Azure creates physical chaos in data centers.,It's for managing Azure AD user testing environments.,"Azure Chaos Studio only tests network resilience, not system-wide."
Azure,What is Azure Automanage?,A service that simplifies the management of Windows Server machines by applying best practices automatically.,Automanage in Azure is for automating physical server management.,It's for managing Azure AD user automation tasks.,Azure Automanage only applies to Linux servers.
Azure,What is Azure Defender?,"Part of Azure Security Center, providing advanced threat protection across various Azure services.",Defender in Azure physically defends Azure data centers.,It's for defending Azure AD users from cyber threats.,Azure Defender only protects against network attacks.
Azure,What is Azure Immersive Reader?,An AI-powered tool that improves reading comprehension and accessibility in applications.,Immersive Reader in Azure manages physical reader devices.,It's for reading Azure AD user data.,Azure Immersive Reader does not support accessibility features.
Azure,What is Azure Form Recognizer?,"An AI service that identifies and extracts text, key/value pairs, and tables from forms and documents.",Form Recognizer in Azure is for recognizing physical forms.,It's for recognizing Azure AD user forms.,Azure Form Recognizer only works with printed documents.
Azure,What is Azure Custom Vision?,A service that lets you build and deploy your own image classification models without machine learning expertise.,Custom Vision in Azure deals with physical vision systems.,It's for customizing Azure AD user vision settings.,Azure Custom Vision only supports pre-built models.
Azure,What is Azure Spatial Anchors?,A service for creating mixed reality experiences by anchoring digital content to physical locations.,Spatial Anchors in Azure manage physical anchor points.,It's for anchoring Azure AD user data spatially.,Azure Spatial Anchors do not support real-world locations.
Azure,What is Azure Speech?,"A suite of speech recognition, text-to-speech, speech translation, and speaker recognition services.",Speech in Azure is for managing physical speech devices.,It's for handling Azure AD user speech data.,"Azure Speech only supports speech recognition, not synthesis."
Azure,What is Azure Video Indexer?,"An AI service that extracts insights from video and audio files, like transcripts, faces, and emotions.",Video Indexer in Azure indexes physical video hardware.,It's for indexing Azure AD user videos.,Azure Video Indexer does not support audio analysis.
Azure,What is Azure Personalizer?,An AI service that helps in choosing the best content for users by learning from their behavior in real-time.,Personalizer in Azure personalizes physical Azure infrastructure.,It's for personalizing Azure AD user experiences.,Azure Personalizer does not learn from user behavior.
Azure,What is Azure Metrics Advisor?,A service for monitoring metrics and diagnosing anomalies in time-series data for applications.,Metrics Advisor in Azure advises on physical metrics.,It's for advising on Azure AD user metrics.,Azure Metrics Advisor only works with static data.
Google Cloud,What is Google Compute Engine?,"A service that provides scalable, high-performance virtual machines in Google's data centers.",Compute Engine is for computing physical engines in Google's facilities.,It's exclusively for running Google's proprietary software.,Google Compute Engine does not support Linux; it's Windows-only.
Google Cloud,What is Google Cloud Storage?,"A service for storing and serving large amounts of data, including object storage for any type of data.",Cloud Storage is only for storing Google's internal data.,It's for managing physical storage devices in Google's data centers.,Google Cloud Storage only supports data from Google services.
Google Cloud,What is Google Kubernetes Engine (GKE)?,"A managed environment for deploying, managing, and scaling containerized applications using Kubernetes.",GKE is for managing physical Kubernetes clusters.,"It's only for developing Kubernetes, not deploying applications.",Google Kubernetes Engine does not support open-source containers.
Google Cloud,What is Google App Engine?,"A fully managed, serverless platform for developing and hosting web applications.",App Engine is for managing physical application servers.,It's limited to hosting static websites only.,Google App Engine requires managing the underlying infrastructure.
Google Cloud,What is Google Cloud SQL?,"A fully-managed database service for MySQL, PostgreSQL, and SQL Server that automates backups, replication, and patching.",Cloud SQL is for managing physical SQL servers.,It only supports MySQL; other database types are not available.,Google Cloud SQL requires manual database management.
Google Cloud,What is Google BigQuery?,"A serverless, highly scalable data warehouse for analytics, allowing SQL queries to run on large datasets.",BigQuery is for managing physical query hardware.,"It's exclusively for small datasets, not large ones.",Google BigQuery does not support SQL; it uses a proprietary language.
Google Cloud,What is Google Cloud Functions?,"A serverless execution environment for building and connecting cloud services, executing code in response to events.",Cloud Functions manage physical functions in Google's data centers.,It's only for running pre-defined Google functions.,Google Cloud Functions requires server management.
Google Cloud,What is Google Cloud Pub/Sub?,A real-time messaging service that allows you to send and receive messages between independent applications.,Pub/Sub is for managing physical publications and subscriptions.,"It's only for internal Google communications, not customer apps.",Google Cloud Pub/Sub only supports one-to-one messaging.
Google Cloud,What is Google Cloud Datastore?,"A NoSQL, document database for web and mobile applications, offering scalable storage for structured data.",Datastore is for storing physical data objects.,It's only for storing Google's own application data.,Google Cloud Datastore does not support querying data.
Google Cloud,What is Google Cloud Firestore?,"A flexible, scalable NoSQL document database for mobile, web, and server development.",Firestore is for managing physical fire systems in data centers.,"It's limited to web applications, not mobile or server.",Google Cloud Firestore only handles SQL databases.
Google Cloud,What is Google Cloud Spanner?,"A fully managed, scalable, relational database service for global transactions and consistency.",Spanner in Google is for managing physical spanners in data centers.,"It's only for small-scale, local database needs.",Google Cloud Spanner does not support SQL queries.
Google Cloud,What is Google Cloud Load Balancing?,A service that distributes incoming traffic across multiple instances for high availability and performance.,Load Balancing in Google deals with physical load balancing devices.,It's only for balancing internal Google services.,Google Cloud Load Balancing only supports HTTP traffic.
Google Cloud,What is Google Cloud CDN?,A content delivery network for delivering content with low latency and high transfer speeds.,CDN in Google is for managing physical CD distribution.,"It's limited to Google's own content, not third-party.",Google Cloud CDN does not reduce latency; it increases it.
Google Cloud,What is Google Cloud Memorystore?,"A fully managed in-memory data store service for Redis, offering high performance for applications.",Memorystore is for storing physical memory components.,"It's only for Google's internal caching, not customer use.",Google Cloud Memorystore does not support Redis.
Google Cloud,What is Google Cloud AI Platform?,"A suite of machine learning services for building, deploying, and managing ML models at scale.",AI Platform in Google is for managing physical AI hardware.,"It's only for running pre-built AI models, not custom ones.",Google Cloud AI Platform does not support TensorFlow.
Google Cloud,What is Google Cloud Filestore?,A fully managed file storage service for applications that require a file system interface.,Filestore in Google manages physical file storage units.,It's only for storing Google's application files.,Google Cloud Filestore does not support NFS protocol.
Google Cloud,What is Google Cloud Dataflow?,A fully managed service for transforming and enriching data in stream (real-time) and batch (historical) modes.,Dataflow is for managing physical data flows in Google's facilities.,"It's limited to batch processing, not real-time.",Google Cloud Dataflow only works with Google's proprietary data formats.
Google Cloud,What is Google Cloud Dataproc?,"A fast, easy-to-use, fully managed cloud service for running Apache Hadoop and Spark clusters.",Dataproc in Google is for processing physical data hardware.,"It's only for internal Google data processing, not customer use.",Google Cloud Dataproc does not support Spark.
Google Cloud,What is Google Cloud Datalab?,"An interactive tool for exploring, analyzing, visualizing, and transforming data using Jupyter notebooks.",Datalab is for physically lab-testing data in Google's labs.,"It's only for Google's data scientists, not customer use.","Google Cloud Datalab only supports R, not Python for data analysis."
Google Cloud,What is Google Cloud Data Catalog?,"A fully managed, scalable metadata management service for data discovery and governance.",Data Catalog in Google catalogs physical data storage units.,It's for cataloging Google's proprietary data only.,Google Cloud Data Catalog does not support tagging of data assets.
Google Cloud,What is Google Cloud IAM (Identity and Access Management)?,A service for managing identities and their access to Google Cloud resources securely.,IAM in Google manages physical identity cards.,It's only for managing access to Google's internal services.,Google Cloud IAM does not support role-based access control.
Google Cloud,What is Google Cloud Security Command Center?,A security and risk management service offering visibility into your Google Cloud assets.,Security Command Center manages physical security in Google's data centers.,"It's only for monitoring Google's internal security, not customer assets.",Google Cloud Security Command Center focuses solely on network security.
Google Cloud,What is Google Cloud Monitoring?,"A service for collecting, analyzing, and acting on metrics and events from your cloud and on-premises infrastructure.",Monitoring in Google is for monitoring physical Google facilities.,"It's limited to Google's services, not customer applications.",Google Cloud Monitoring does not support custom metrics.
Google Cloud,What is Google Cloud Logging?,"A service for storing, searching, analyzing, monitoring, and alerting on log data from your applications and services.",Logging in Google is for logging physical actions in data centers.,"It's only for Google's internal logging, not customer applications.","Google Cloud Logging only supports text logs, not structured data."
Google Cloud,What is Google Cloud Trace?,A distributed tracing system that collects latency data from your applications to reduce latency.,Trace in Google traces physical paths in Google's data centers.,"It's only for tracing Google's services, not customer applications.",Google Cloud Trace does not help in diagnosing performance issues.
Google Cloud,What is Google Cloud Debugger?,"A service that lets you inspect the state of an application in production, without stopping it or affecting its performance.",Debugger in Google is for debugging physical hardware.,"It's only for debugging Google's applications, not customer ones.",Google Cloud Debugger requires stopping the application to inspect.
Google Cloud,What is Google Cloud Deployment Manager?,A service for automating the creation and management of Google Cloud resources using templates.,Deployment Manager in Google manages physical deployments.,"It's limited to manual deployments, not automation.",Google Cloud Deployment Manager does not support YAML for templates.
Google Cloud,What is Google Cloud Endpoints?,"A distributed API management system that helps you develop, deploy, and manage APIs on any Google Cloud backend.",Endpoints in Google are physical endpoints in data centers.,"It's only for managing Google's APIs, not customer APIs.",Google Cloud Endpoints do not support OpenAPI specifications.
Google Cloud,What is Google Cloud Armor?,"A security service that provides protection against multiple types of threats, including DDoS attacks.",Armor in Google protects physical Google infrastructure.,"It's only for Google's internal security, not customer protection.",Google Cloud Armor does not include protection against DDoS.
Google Cloud,What is Google Cloud NAT (Network Address Translation)?,A service that allows instances without external IP addresses to reach the internet via a common external IP.,NAT in Google deals with physical network translation devices.,It's only for internal Google network translations.,Google Cloud NAT does not support outbound internet access.
Google Cloud,What is Google Cloud VPN?,A service for securely connecting your on-premises network to Google's network through a VPN tunnel.,VPN in Google is for managing physical VPN hardware.,It's only for connecting Google's internal networks.,Google Cloud VPN does not support IPsec.
Google Cloud,What is Google Cloud Interconnect?,"Provides direct physical connectivity to Google's network, offering low latency and high availability.",Interconnect in Google connects physical servers.,"It's for connecting Google's services, not customer networks.",Google Cloud Interconnect only supports virtual connections.
Google Cloud,What is Google Cloud DNS?,"A scalable, reliable, and managed authoritative DNS service running on the same infrastructure as Google.",DNS in Google manages physical domain name servers.,It's only for resolving Google's own domain names.,Google Cloud DNS does not support DNSSEC.
Google Cloud,What is Google Cloud Identity-Aware Proxy (IAP)?,A service that lets you establish access control to applications based on user identity and context.,IAP in Google is for managing physical identity proxies.,It's only for Google's internal identity management.,Google Cloud IAP does not work with external identity providers.
Google Cloud,What is Google Cloud Key Management Service (KMS)?,A cloud-hosted key management service that lets you manage encryption keys in a single centralized cloud service.,KMS in Google manages physical keys in data centers.,It's only for Google's internal key management.,Google Cloud KMS does not support asymmetric keys.
Google Cloud,What is Google Cloud HSM (Hardware Security Module)?,A cloud-hosted HSM for securing cryptographic key operations with FIPS 140-2 Level 3 protection.,HSM in Google deals with physical hardware modules.,"It's only for Google's internal security, not customer use.",Google Cloud HSM does not provide FIPS compliance.
Google Cloud,What is Google Cloud Secret Manager?,"A secure and convenient method for storing API keys, passwords, certificates, and other sensitive data.",Secret Manager in Google manages physical secrets in data centers.,"It's only for managing Google's secrets, not customer ones.",Google Cloud Secret Manager does not support versioning of secrets.
Google Cloud,What is Google Cloud Data Loss Prevention (DLP) API?,An API for classifying and redacting sensitive data to help prevent data breaches.,DLP API in Google manages physical data loss prevention systems.,"It's only for Google's data, not customer data.",Google Cloud DLP API does not support text redaction.
Google Cloud,What is Google Cloud Armor Security Policies?,"Customizable security policies to define access control, rate limiting, and geo-based restrictions.",Armor Security Policies in Google are physical security protocols.,They're only for Google's internal security measures.,Google Cloud Armor Security Policies do not support rate limiting.
Google Cloud,What is Google Cloud Speech-to-Text?,"An API for converting audio to text, supporting multiple languages and dialects.",Speech-to-Text in Google is for physical speech devices.,It's only for transcribing Google's internal communications.,Google Cloud Speech-to-Text does not support real-time transcription.
Google Cloud,What is Google Cloud Text-to-Speech?,A service that converts text into natural-sounding speech using advanced neural network technology.,Text-to-Speech in Google manages physical text devices.,It's only for Google's internal voice responses.,Google Cloud Text-to-Speech does not support multiple voices.
Google Cloud,What is Google Cloud Translation API?,An API for translating text between thousands of language pairs with high accuracy.,Translation API in Google translates physical signs.,It's only for translating Google's service interfaces.,Google Cloud Translation API does not support real-time translation.
Google Cloud,What is Google Cloud Vision API?,"An AI service for deriving insights from images, including object detection, facial recognition, and text extraction.",Vision API in Google is for physical vision systems.,It's only for analyzing Google's internal images.,Google Cloud Vision API does not support text detection.
